index,parcels,yield,county,rent($/acres),rent($/hectare)
95,95,17.55887921,IA141,249,615.2918559
96,96,16.12714471,IA141,249,615.2918559
97,97,17.58626171,IA141,249,615.2918559
98,98,19.73760431,IA141,249,615.2918559
99,99,16.28588145,IA141,249,615.2918559
100,100,17.82814357,IA141,249,615.2918559
101,101,14.79116292,IA141,249,615.2918559
102,102,16.29488705,IA141,249,615.2918559
103,103,19.25390161,IA141,249,615.2918559
104,104,16.85369187,IA151,212,523.8629456
105,105,17.1482269,IA151,212,523.8629456
106,106,0,IA151,212,523.8629456
107,107,16.16580876,IA151,212,523.8629456
108,108,17.20090365,IA151,212,523.8629456
109,109,0,IA151,212,523.8629456
110,110,18.4877537,IA151,212,523.8629456
111,111,15.49589079,IA151,212,523.8629456
112,112,17.56804659,IA151,212,523.8629456
113,113,18.35127779,IA151,212,523.8629456
114,114,17.08233368,IA151,212,523.8629456
115,115,17.23856943,IA151,212,523.8629456
116,116,0,IA151,212,523.8629456
117,117,18.92290886,IA151,212,523.8629456
118,118,16.88426959,IA151,212,523.8629456
119,119,18.85618206,IA151,212,523.8629456
120,120,15.74783372,IA151,212,523.8629456
121,121,18.74388237,IA151,212,523.8629456
122,122,0,IA151,212,523.8629456
123,123,16.37694716,IA151,212,523.8629456
124,124,13.35000358,IA047,233,575.7550298
125,125,15.82207915,IA047,233,575.7550298
126,126,17.51753413,IA047,233,575.7550298
127,127,14.16654043,IA047,233,575.7550298
128,128,14.89195122,IA047,233,575.7550298
129,129,17.45953606,IA047,233,575.7550298
130,130,17.32894196,IA047,233,575.7550298
131,131,17.69382098,IA047,233,575.7550298
132,132,16.92684284,IA047,233,575.7550298
133,133,17.35133732,IA047,233,575.7550298
134,134,17.02912919,IA047,233,575.7550298
135,135,15.67660007,IA047,233,575.7550298
136,136,16.67827859,IA047,233,575.7550298
137,137,14.73208661,IA047,233,575.7550298
138,138,13.20171147,IA047,233,575.7550298
139,139,16.68065572,IA047,233,575.7550298
140,140,16.09855513,IA047,233,575.7550298
141,141,15.83768144,IA047,233,575.7550298
142,142,13.8641325,IA047,233,575.7550298
143,143,16.87066837,IA047,233,575.7550298
144,144,15.57997013,IA047,233,575.7550298
145,145,15.14738122,IA047,233,575.7550298
146,146,14.24215903,IA047,233,575.7550298
147,147,15.5039549,IA047,233,575.7550298
148,148,14.61267542,IA047,233,575.7550298
149,149,16.6761436,IA047,233,575.7550298
150,150,16.62255347,IA047,233,575.7550298
151,151,16.02874329,IA047,233,575.7550298
152,152,14.20100145,IA047,233,575.7550298
153,153,17.42422673,IA047,233,575.7550298
154,154,15.30283158,IA047,233,575.7550298
155,155,16.07446851,IA047,233,575.7550298
156,156,17.68141796,IA047,233,575.7550298
157,157,16.56487866,IA047,233,575.7550298
158,158,15.49731124,IA009,254,627.6471141
159,159,16.75451432,IA009,254,627.6471141
160,160,15.61668142,IA009,254,627.6471141
161,161,13.73120251,IA009,254,627.6471141
162,162,16.3312041,IA009,254,627.6471141
163,163,16.20766335,IA009,254,627.6471141
164,164,16.01113646,IA009,254,627.6471141
165,165,15.10756882,IA009,254,627.6471141
166,166,14.62566329,IA009,254,627.6471141
167,167,15.49980761,IA009,254,627.6471141
168,168,19.2841517,IA161,244,602.9365978
169,169,16.27305456,IA161,244,602.9365978
170,170,17.18271531,IA161,244,602.9365978
171,171,17.4701045,IA161,244,602.9365978
172,172,17.09946179,IA161,244,602.9365978
173,173,17.96183865,IA161,244,602.9365978
174,174,17.48326482,IA161,244,602.9365978
175,175,16.47809457,IA161,244,602.9365978
176,176,17.42330438,IA161,244,602.9365978
177,177,18.5003796,IA161,244,602.9365978
178,178,18.24931227,IA161,244,602.9365978
179,179,19.77647593,IA161,244,602.9365978
180,180,15.29066094,IA161,244,602.9365978
181,181,14.5493249,IA161,244,602.9365978
182,182,16.35310288,IA161,244,602.9365978
183,183,17.26707722,IA161,244,602.9365978
184,184,19.06331619,IA161,244,602.9365978
185,185,15.42697629,IA161,244,602.9365978
186,186,16.52499434,IA161,244,602.9365978
187,187,13.84507168,IA161,244,602.9365978
188,188,15.68644849,IA161,244,602.9365978
189,189,14.74932507,IA161,244,602.9365978
190,190,15.9068063,IA161,244,602.9365978
191,191,15.02917091,IA193,246,607.878701
192,192,15.49439411,IA193,246,607.878701
193,193,14.99471505,IA193,246,607.878701
194,194,15.73463325,IA193,246,607.878701
195,195,15.45584462,IA193,246,607.878701
196,196,18.36816178,IA193,246,607.878701
197,197,16.60763185,IA193,246,607.878701
198,198,15.28553622,IA193,246,607.878701
199,199,14.53800964,IA193,246,607.878701
200,200,16.86001164,IA193,246,607.878701
201,201,14.78621342,IA193,246,607.878701
202,202,16.35132321,IA193,246,607.878701
203,203,15.1752418,IA193,246,607.878701
204,204,15.53022448,IA193,246,607.878701
205,205,14.61552816,IA193,246,607.878701
206,206,14.55015233,IA193,246,607.878701
207,207,14.92571628,IA193,246,607.878701
208,208,13.46322261,IA193,246,607.878701
209,209,15.69016417,IA193,246,607.878701
210,210,15.98226128,IA193,246,607.878701
211,211,14.12570742,IA193,246,607.878701
212,212,17.07672234,IA193,246,607.878701
213,213,14.75102215,IA193,246,607.878701
214,214,14.37098746,IA193,246,607.878701
215,215,14.13752867,IA193,246,607.878701
216,216,19.01189333,IA193,246,607.878701
217,217,15.44090588,IA193,246,607.878701
218,218,0.03682139,IA193,246,607.878701
219,219,16.78550174,IA193,246,607.878701
220,220,16.54231458,IA193,246,607.878701
221,221,15.66721656,IA193,246,607.878701
222,222,18.398535,IA193,246,607.878701
223,223,16.79582918,IA193,246,607.878701
224,224,15.56368351,IA193,246,607.878701
225,225,0.488268817,IA193,246,607.878701
226,226,14.96452313,IA193,246,607.878701
227,227,13.72438562,IA193,246,607.878701
228,228,15.3142344,IA193,246,607.878701
229,229,13.5964086,IA193,246,607.878701
230,230,15.9520465,IA193,246,607.878701
231,231,17.62939059,IA193,246,607.878701
232,232,0.506646299,IA193,246,607.878701
233,233,0.604500737,IA193,246,607.878701
234,234,15.80066274,IA193,246,607.878701
235,235,15.55595489,IA193,246,607.878701
236,236,17.49272263,IA193,246,607.878701
237,237,15.38572813,IA193,246,607.878701
238,238,16.5349474,IA143,243,600.4655461
239,239,17.84475575,IA143,243,600.4655461
240,240,16.38252832,IA143,243,600.4655461
241,241,17.67420823,IA143,243,600.4655461
242,242,14.88668853,IA143,243,600.4655461
243,243,14.68244982,IA143,243,600.4655461
244,244,14.64516667,IA143,243,600.4655461
245,245,14.39060702,IA143,243,600.4655461
246,246,14.19682796,IA143,243,600.4655461
247,247,17.5838673,IA143,243,600.4655461
248,248,15.4912371,IA143,243,600.4655461
249,249,16.35939125,IA143,243,600.4655461
250,250,15.82574663,IA143,243,600.4655461
251,251,16.24542735,IA143,243,600.4655461
252,252,14.00997044,IA149,260,642.4734238
253,253,16.4146891,IA149,260,642.4734238
254,254,16.21821471,IA149,260,642.4734238
255,255,18.68129741,IA149,260,642.4734238
256,256,17.43212555,IA149,260,642.4734238
257,257,15.12468456,IA149,260,642.4734238
258,258,14.63707527,IA149,260,642.4734238
259,259,14.53997211,IA149,260,642.4734238
260,260,15.23960119,IA149,260,642.4734238
261,261,16.80930403,IA149,260,642.4734238
262,262,17.49666749,IA149,260,642.4734238
263,263,13.92457996,IA149,260,642.4734238
264,264,14.0551083,IA149,260,642.4734238
265,265,14.56105312,IA149,260,642.4734238
266,266,15.96196806,IA149,260,642.4734238
267,267,16.14357837,IA149,260,642.4734238
268,268,13.72752688,IA149,260,642.4734238
269,269,14.70050343,IA149,260,642.4734238
270,270,14.92532602,IA149,260,642.4734238
271,271,14.61695341,IA149,260,642.4734238
272,272,14.63262768,IA149,260,642.4734238
273,273,14.8245331,IA149,260,642.4734238
274,274,16.34024348,IA149,260,642.4734238
275,275,17.90744498,IA149,260,642.4734238
276,276,17.29466093,IA149,260,642.4734238
277,277,15.93714745,IA149,260,642.4734238
278,278,14.42077945,IA149,260,642.4734238
279,279,15.04578084,IA149,260,642.4734238
280,280,15.64664652,IA149,260,642.4734238
281,281,16.44342039,IA149,260,642.4734238
282,282,14.86406976,IA149,260,642.4734238
283,283,15.78304326,IA149,260,642.4734238
284,284,15.14034584,IA149,260,642.4734238
285,285,13.58944802,IA149,260,642.4734238
286,286,15.40463771,IA149,260,642.4734238
287,287,16.03254392,IA149,260,642.4734238
288,288,15.69426006,IA149,260,642.4734238
289,289,16.60505847,IA149,260,642.4734238
290,290,16.3102324,IA149,260,642.4734238
291,291,15.53578587,IA041,225,555.9866168
292,292,15.00729852,IA041,225,555.9866168
293,293,14.53738172,IA041,225,555.9866168
294,294,15.6973857,IA041,225,555.9866168
295,295,16.75434201,IA041,225,555.9866168
296,296,14.44218742,IA041,225,555.9866168
297,297,15.21969543,IA041,225,555.9866168
298,298,17.52753424,IA041,225,555.9866168
299,299,17.8522615,IA041,225,555.9866168
300,300,17.4577212,IA041,225,555.9866168
301,301,18.88125924,IA041,225,555.9866168
302,302,13.58851792,IA041,225,555.9866168
303,303,14.2419431,IA041,225,555.9866168
304,304,17.299903,IA041,225,555.9866168
305,305,16.12269805,IA041,225,555.9866168
306,306,16.49607717,IA041,225,555.9866168
307,307,14.79448735,IA041,225,555.9866168
308,308,17.61812174,IA085,223,551.0445135
309,309,16.9899305,IA085,223,551.0445135
310,310,14.54765629,IA085,223,551.0445135
311,311,12.54694803,IA085,223,551.0445135
312,312,13.79419341,IA085,223,551.0445135
313,313,17.04408425,IA085,223,551.0445135
314,314,16.88644842,IA085,223,551.0445135
315,315,18.15661213,IA085,223,551.0445135
316,316,16.01087485,IA167,262,647.4155271
317,317,17.18076217,IA167,262,647.4155271
318,318,15.93608812,IA167,262,647.4155271
319,319,15.02982157,IA167,262,647.4155271
320,320,16.58960909,IA167,262,647.4155271
321,321,14.59405253,IA167,262,647.4155271
322,322,15.09389858,IA167,262,647.4155271
323,323,16.43254527,IA167,262,647.4155271
324,324,16.33922376,IA167,262,647.4155271
325,325,16.04470292,IA167,262,647.4155271
326,326,14.14130466,IA167,262,647.4155271
327,327,17.36443027,IA167,262,647.4155271
328,328,15.32422214,IA167,262,647.4155271
329,329,16.28822911,IA167,262,647.4155271
330,330,17.17215837,IA167,262,647.4155271
331,331,16.5077074,IA167,262,647.4155271
332,332,17.87138052,IA167,262,647.4155271
333,333,14.99953372,IA167,262,647.4155271
334,334,15.8801218,IA167,262,647.4155271
335,335,15.6728602,IA167,262,647.4155271
336,336,14.14139247,IA167,262,647.4155271
337,337,17.33818655,IA167,262,647.4155271
338,338,15.0431535,IA167,262,647.4155271
339,339,14.21484992,IA167,262,647.4155271
340,340,14.17317289,IA167,262,647.4155271
341,341,14.48115618,IA167,262,647.4155271
342,342,16.01146597,IA167,262,647.4155271
343,343,17.03000379,IA167,262,647.4155271
344,344,14.12255018,IA167,262,647.4155271
345,345,17.51802371,IA133,225,555.9866168
346,346,14.21409394,IA133,225,555.9866168
347,347,14.40544907,IA133,225,555.9866168
348,348,15.35442428,IA133,225,555.9866168
349,349,13.85556282,IA133,225,555.9866168
350,350,14.80363312,IA133,225,555.9866168
351,351,13.88852688,IA133,225,555.9866168
352,352,13.52774911,IA133,225,555.9866168
353,353,13.55262596,IA133,225,555.9866168
354,354,16.87711451,IA133,225,555.9866168
355,355,18.05991218,IA133,225,555.9866168
356,356,16.00865829,IA133,225,555.9866168
357,357,16.27143163,IA133,225,555.9866168
358,358,18.15260102,IA133,225,555.9866168
359,359,15.51141522,IA133,225,555.9866168
360,360,14.70128786,IA133,225,555.9866168
361,361,15.35335382,IA133,225,555.9866168
362,362,17.86680756,IA133,225,555.9866168
363,363,16.33708324,IA133,225,555.9866168
364,364,15.15451823,IA133,225,555.9866168
365,365,14.01368932,IA133,225,555.9866168
366,366,15.82201662,IA133,225,555.9866168
367,367,18.27192923,IA133,225,555.9866168
368,368,16.8943588,IA133,225,555.9866168
369,369,14.72145873,IA133,225,555.9866168
370,370,14.77184964,IA133,225,555.9866168
371,371,15.71904375,IA133,225,555.9866168
372,372,15.13862675,IA133,225,555.9866168
373,373,15.27470082,IA133,225,555.9866168
374,374,14.31057335,IA133,225,555.9866168
375,375,18.51732983,IA133,225,555.9866168
376,376,12.82478846,IA133,225,555.9866168
377,377,15.82635558,IA133,225,555.9866168
378,378,15.27114539,IA133,225,555.9866168
379,379,17.47623575,IA133,225,555.9866168
380,380,15.47642611,IA133,225,555.9866168
381,381,16.64295049,IA025,235,580.6971331
382,382,18.83123175,IA025,235,580.6971331
383,383,17.42034321,IA025,235,580.6971331
384,384,16.90310254,IA025,235,580.6971331
385,385,15.80626344,IA025,235,580.6971331
386,386,15.81528978,IA025,235,580.6971331
387,387,17.98125631,IA025,235,580.6971331
388,388,0,IA025,235,580.6971331
389,389,20.195342,IA025,235,580.6971331
390,390,16.10366308,IA025,235,580.6971331
391,391,18.10727368,IA025,235,580.6971331
392,392,17.68173404,IA025,235,580.6971331
393,393,18.19747278,IA025,235,580.6971331
394,394,17.35785844,IA025,235,580.6971331
395,395,17.14193603,IA025,235,580.6971331
396,396,15.73909294,IA025,235,580.6971331
397,397,15.67614806,IA025,235,580.6971331
398,398,16.44388919,IA025,235,580.6971331
399,399,17.495959,IA025,235,580.6971331
400,400,15.50358977,IA025,235,580.6971331
401,401,17.9127911,IA025,235,580.6971331
402,402,18.14826075,IA025,235,580.6971331
403,403,17.15267092,IA025,235,580.6971331
404,404,17.30251625,IA025,235,580.6971331
405,405,17.12086729,IA077,197,486.7971711
406,406,16.48530644,IA077,197,486.7971711
407,407,15.07011861,IA077,197,486.7971711
408,408,16.29622088,IA077,197,486.7971711
409,409,15.48208436,IA077,197,486.7971711
410,410,16.76238405,IA059,209,516.4497907
411,411,0,IA059,209,516.4497907
412,412,15.74373046,IA059,209,516.4497907
413,413,15.29073472,IA059,209,516.4497907
414,414,18.81290621,IA059,209,516.4497907
415,415,17.77024976,IA059,209,516.4497907
416,416,14.78250106,IA059,209,516.4497907
417,417,15.09343173,IA059,209,516.4497907
418,418,15.62903611,IA035,260,642.4734238
419,419,17.5431145,IA035,260,642.4734238
420,420,17.02161882,IA035,260,642.4734238
421,421,16.32360497,IA035,260,642.4734238
422,422,18.39297986,IA035,260,642.4734238
423,423,15.93059047,IA035,260,642.4734238
424,424,18.71469211,IA035,260,642.4734238
425,425,17.87251298,IA035,260,642.4734238
426,426,17.27336995,IA035,260,642.4734238
427,427,15.04167206,IA035,260,642.4734238
428,428,14.67460444,IA035,260,642.4734238
429,429,14.87922224,IA035,260,642.4734238
430,430,16.27289547,IA035,260,642.4734238
431,431,19.51018056,IA035,260,642.4734238
432,432,17.61354648,IA035,260,642.4734238
433,433,14.92419919,IA035,260,642.4734238
434,434,18.66672193,IA035,260,642.4734238
435,435,15.73361693,IA035,260,642.4734238
436,436,15.13520771,IA035,260,642.4734238
437,437,15.8870041,IA035,260,642.4734238
438,438,18.82713309,IA035,260,642.4734238
439,439,15.51030291,IA035,260,642.4734238
440,440,18.07319358,IA035,260,642.4734238
441,441,14.88367596,IA035,260,642.4734238
442,442,16.71427881,IA035,260,642.4734238
443,443,16.27971287,IA035,260,642.4734238
444,444,16.67275505,IA035,260,642.4734238
445,445,15.05037311,IA035,260,642.4734238
446,446,16.89785117,IA035,260,642.4734238
447,447,18.05980659,IA035,260,642.4734238
448,448,14.55513182,IA147,227,560.92872
449,449,17.48018882,IA147,227,560.92872
450,450,15.44462714,IA147,227,560.92872
451,451,15.50548024,IA147,227,560.92872
452,452,17.19762238,IA147,227,560.92872
453,453,16.35646903,IA147,227,560.92872
454,454,15.92356487,IA147,227,560.92872
455,455,14.67009984,IA147,227,560.92872
456,456,17.85713579,IA147,227,560.92872
457,457,14.1569057,IA147,227,560.92872
458,458,16.76666479,IA147,227,560.92872
459,459,14.40792076,IA021,225,555.9866168
460,460,16.54576806,IA021,225,555.9866168
461,461,17.20494899,IA021,225,555.9866168
462,462,15.50366426,IA021,225,555.9866168
463,463,15.50119893,IA021,225,555.9866168
464,464,16.51184529,IA021,225,555.9866168
465,465,17.79495935,IA021,225,555.9866168
466,466,16.30171437,IA021,225,555.9866168
467,467,15.8964597,IA021,225,555.9866168
468,468,15.10585243,IA021,225,555.9866168
469,469,14.30746057,IA021,225,555.9866168
470,470,17.36398794,IA021,225,555.9866168
471,471,17.07394316,IA021,225,555.9866168
472,472,18.73210625,IA021,225,555.9866168
473,473,15.2099351,IA021,225,555.9866168
474,474,0,IA021,225,555.9866168
475,475,15.87170249,IA021,225,555.9866168
476,476,15.88259636,IA021,225,555.9866168
477,477,16.54965673,IA021,225,555.9866168
478,478,17.3268681,IA021,225,555.9866168
479,479,17.61663563,IA021,225,555.9866168
480,480,0,IA021,225,555.9866168
481,481,15.72755735,IA021,225,555.9866168
482,482,15.56287793,IA021,225,555.9866168
483,483,17.39361265,IA021,225,555.9866168
484,484,15.05059438,IA021,225,555.9866168
485,485,14.62979112,IA021,225,555.9866168
486,486,0,IA021,225,555.9866168
487,487,18.79301042,IA021,225,555.9866168
488,488,16.40639765,IA119,231,570.8129266
489,489,16.4099176,IA119,231,570.8129266
490,490,16.2735722,IA119,231,570.8129266
491,491,16.18481448,IA119,231,570.8129266
492,492,15.51041428,IA119,231,570.8129266
493,493,16.88152992,IA119,231,570.8129266
494,494,15.64177403,IA119,231,570.8129266
495,495,15.21136094,IA119,231,570.8129266
496,496,14.917118,IA119,231,570.8129266
497,497,17.16074727,IA119,231,570.8129266
498,498,15.81714457,IA119,231,570.8129266
499,499,16.10334588,IA119,231,570.8129266
500,500,17.11712259,IA119,231,570.8129266
501,501,16.51959988,IA119,231,570.8129266
502,502,17.92484679,IA119,231,570.8129266
503,503,13.8900306,IA119,231,570.8129266
504,504,14.23175146,IA119,231,570.8129266
505,505,16.2640608,IA119,231,570.8129266
506,506,16.68957577,IA119,231,570.8129266
507,507,15.60260157,IA119,231,570.8129266
508,508,14.98717207,IA119,231,570.8129266
509,509,15.96838037,IA119,231,570.8129266
510,510,15.97312972,IA119,231,570.8129266
511,511,14.87073707,IA119,231,570.8129266
512,512,16.60138879,IA119,231,570.8129266
513,513,16.6628374,IA119,231,570.8129266
514,514,18.18415978,IA165,223,551.0445135
515,515,17.15908797,IA165,223,551.0445135
516,516,17.58491047,IA165,223,551.0445135
517,517,16.79479273,IA165,223,551.0445135
518,518,17.71137859,IA165,223,551.0445135
519,519,16.20294734,IA165,223,551.0445135
520,520,18.47529081,IA165,223,551.0445135
521,521,15.59694776,IA165,223,551.0445135
522,522,15.70723264,IA165,223,551.0445135
523,523,14.51522931,IA165,223,551.0445135
524,524,15.50200396,IA165,223,551.0445135
525,525,13.57327599,IA165,223,551.0445135
526,526,17.40162024,IA165,223,551.0445135
527,527,17.95918166,IA165,223,551.0445135
528,528,15.94875211,IA165,223,551.0445135
529,529,14.73574508,IA165,223,551.0445135
530,530,17.91838145,IA137,205,506.5655842
531,531,16.08397364,IA137,205,506.5655842
532,532,16.97521739,IA137,205,506.5655842
533,533,15.61874706,IA009,254,627.6471141
534,534,15.59118373,IA009,254,627.6471141
535,535,14.62372099,IA009,254,627.6471141
536,536,16.65936745,IA009,254,627.6471141
537,537,14.88086725,IA009,254,627.6471141
538,538,16.2478401,IA009,254,627.6471141
539,539,14.91225837,IA009,254,627.6471141
540,540,17.75288158,IA009,254,627.6471141
541,541,17.44319636,IA009,254,627.6471141
542,542,16.00642393,IA009,254,627.6471141
543,543,15.83385164,IA009,254,627.6471141
544,544,16.61649689,IA009,254,627.6471141
545,545,15.25922549,IA009,254,627.6471141
546,546,17.93717378,IA009,254,627.6471141
547,547,15.41021024,IA155,237,585.6392363
548,548,15.38077876,IA155,237,585.6392363
549,549,18.63416046,IA155,237,585.6392363
550,550,17.38767541,IA155,237,585.6392363
551,551,18.15528458,IA155,237,585.6392363
552,552,17.82396878,IA155,237,585.6392363
553,553,19.56709302,IA155,237,585.6392363
554,554,16.88103528,IA155,237,585.6392363
555,555,16.45212928,IA155,237,585.6392363
556,556,15.71725723,IA155,237,585.6392363
557,557,16.77282294,IA155,237,585.6392363
558,558,14.63934597,IA155,237,585.6392363
559,559,16.62551862,IA155,237,585.6392363
560,560,16.96203007,IA155,237,585.6392363
561,561,17.93366127,IA155,237,585.6392363
562,562,20.84005134,IA155,237,585.6392363
563,563,16.78292427,IA155,237,585.6392363
564,564,16.22240155,IA155,237,585.6392363
565,565,15.19189344,IA155,237,585.6392363
566,566,16.00589522,IA155,237,585.6392363
567,567,15.92310169,IA155,237,585.6392363
568,568,16.20920148,IA155,237,585.6392363
569,569,18.09317587,IA155,237,585.6392363
570,570,17.19063655,IA155,237,585.6392363
571,571,16.64391937,IA155,237,585.6392363
572,572,16.86951457,IA155,237,585.6392363
573,573,17.20608586,IA155,237,585.6392363
574,574,17.09026515,IA155,237,585.6392363
575,575,15.76999241,IA155,237,585.6392363
576,576,16.29194752,IA155,237,585.6392363
577,577,16.61857122,IA155,237,585.6392363
578,578,15.85702771,IA155,237,585.6392363
579,579,15.54111649,IA155,237,585.6392363
580,580,17.64821595,IA155,237,585.6392363
581,581,15.77993062,IA155,237,585.6392363
582,582,18.32217518,IA155,237,585.6392363
583,583,17.07440814,IA155,237,585.6392363
584,584,15.97021181,IA155,237,585.6392363
585,585,16.69661928,IA155,237,585.6392363
586,586,17.57447372,IA155,237,585.6392363
587,587,18.74189119,IA155,237,585.6392363
588,588,15.65113443,IA155,237,585.6392363
589,589,13.83881183,IA155,237,585.6392363
590,590,16.77022503,IA155,237,585.6392363
591,591,15.55430566,IA155,237,585.6392363
592,592,15.18222244,IA155,237,585.6392363
593,593,15.2717925,IA155,237,585.6392363
594,594,17.78997682,IA155,237,585.6392363
595,595,16.69012328,IA155,237,585.6392363
596,596,16.20381427,IA155,237,585.6392363
597,597,19.95313231,IA155,237,585.6392363
598,598,15.6482819,IA155,237,585.6392363
599,599,17.42614187,IA155,237,585.6392363
600,600,20.30107025,IA155,237,585.6392363
601,601,16.06458429,IA129,223,551.0445135
602,602,16.93926704,IA129,223,551.0445135
603,603,19.05165923,IA129,223,551.0445135
604,604,18.35534048,IA129,223,551.0445135
605,605,15.87422145,IA129,223,551.0445135
606,606,15.69270292,IA129,223,551.0445135
607,607,15.14100093,IA129,223,551.0445135
608,608,17.10223271,IA129,223,551.0445135
609,609,15.60737865,IA129,223,551.0445135
610,610,14.61451657,IA129,223,551.0445135
611,611,15.54508065,IA129,223,551.0445135
612,612,16.05383051,IA129,223,551.0445135
613,613,15.20443903,IA129,223,551.0445135
614,614,17.14509054,IA129,223,551.0445135
615,615,18.73213975,IA129,223,551.0445135
616,616,17.02709862,IA129,223,551.0445135
617,617,17.9253928,IA129,223,551.0445135
618,618,16.67730093,IA129,223,551.0445135
619,619,15.70823613,IA085,223,551.0445135
620,620,17.2103619,IA085,223,551.0445135
621,621,17.68867692,IA085,223,551.0445135
622,622,14.66388845,IA085,223,551.0445135
623,623,14.44106762,IA085,223,551.0445135
624,624,13.97122037,IA085,223,551.0445135
625,625,14.50117615,IA085,223,551.0445135
626,626,16.2200438,IA085,223,551.0445135
627,627,15.12600354,IA085,223,551.0445135
628,628,17.47023728,IA085,223,551.0445135
629,629,14.27002688,IA085,223,551.0445135
630,630,14.68998279,IA085,223,551.0445135
631,631,14.83425828,IA085,223,551.0445135
632,632,17.80456012,IA085,223,551.0445135
633,633,18.01674287,IA085,223,551.0445135
634,634,18.79769329,IA085,223,551.0445135
635,635,16.24765767,IA085,223,551.0445135
636,636,15.43553369,IA085,223,551.0445135
637,637,16.20337444,IA029,224,553.5155652
638,638,15.59378467,IA029,224,553.5155652
